Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,96.68,249.33,9.82,20.62,17.65,16.11,5.53,1.62,24.91,1.42,1.22,0.6,,0.63,0.76,13.95,87.3,0.47,228.74,0.0,0.0,88.9,754.03,0.06
2024-01-02,154.75,376.91,23.33,38.95,37.72,20.04,6.45,2.39,19.6,2.37,3.09,1.03,,2.02,1.66,15.12,88.8,0.41,212.08,0.0,0.0,90.51,753.93,0.05
2024-01-03,192.55,425.98,16.91,22.12,24.02,21.92,6.21,2.52,20.11,3.02,3.45,1.08,,1.92,1.87,15.68,92.93,0.39,194.63,0.0,0.0,76.38,753.78,0.05
2024-01-04,177.69,420.18,17.46,27.54,26.47,23.49,6.9,2.01,18.83,2.74,2.96,1.03,,1.61,1.68,17.51,88.18,0.4,204.97,0.0,0.0,84.52,753.8,0.05
2024-01-05,160.36,360.18,13.25,23.17,19.75,16.78,5.87,1.78,15.62,2.42,2.22,0.76,,1.09,1.31,17.87,92.07,0.48,228.0,0.0,0.0,82.1,753.91,0.06
2024-01-06,152.49,340.27,11.33,21.9,18.48,17.65,5.81,2.18,14.08,2.05,2.04,0.73,,1.24,1.27,18.56,92.7,0.4,218.18,0.0,0.0,67.92,753.95,0.05
2024-01-07,110.07,274.57,6.93,19.84,14.18,15.44,6.14,2.5,16.24,1.56,1.38,0.69,,0.72,0.94,17.63,93.9,0.48,232.79,0.0,0.0,61.9,754.14,0.06
2024-01-08,110.42,292.6,11.74,21.88,19.11,17.11,6.1,2.2,17.45,1.76,1.76,0.7,,1.05,1.14,17.17,93.2,0.47,228.0,0.0,0.0,71.26,754.14,0.06
2024-01-09,118.14,288.67,15.05,24.02,23.0,17.77,6.14,1.7,17.0,1.86,1.99,0.75,,1.22,1.31,17.15,85.03,0.5,214.84,0.0,0.0,105.64,754.0,0.05
2024-01-10,108.82,254.79,9.89,23.71,17.95,16.84,9.98,1.52,21.99,2.14,2.31,1.29,,0.84,1.02,17.97,81.84,0.75,245.84,0.0,0.0,101.46,753.72,0.06
2024-01-11,103.98,267.64,20.81,25.79,26.83,16.97,9.57,1.48,22.74,2.06,2.44,1.32,,0.88,0.94,14.93,88.49,0.75,249.17,0.0,0.0,76.67,754.07,0.06
2024-01-12,130.34,344.89,13.89,23.48,21.09,17.86,9.74,1.96,16.79,2.38,2.52,1.28,,1.02,1.17,12.52,95.72,0.57,227.37,0.0,0.0,53.69,753.92,0.06
2024-01-13,140.95,344.84,10.65,21.16,17.57,16.77,8.3,1.88,18.87,2.36,2.21,1.17,,0.74,0.85,11.78,95.82,0.6,230.97,0.0,0.0,53.7,753.88,0.06
2024-01-14,84.26,209.74,7.07,17.73,13.01,15.74,5.0,1.31,22.59,1.56,1.19,0.5,,0.62,0.62,12.37,94.22,0.58,232.16,0.0,0.0,65.9,753.84,0.06
2024-01-15,119.21,321.15,7.0,18.93,13.75,15.74,10.17,1.74,19.38,2.39,2.41,1.59,,0.63,0.67,12.82,94.82,0.47,229.06,0.0,0.0,56.32,753.76,0.06
2024-01-16,109.22,287.58,6.25,18.1,12.7,15.88,12.28,1.62,22.34,2.54,2.71,2.01,,0.59,0.64,12.63,96.34,0.45,211.21,0.0,0.0,39.56,753.66,0.06
